5900,Id,Sentiment,Tweet
5901,1265501918589333505,0.0239057239057239,
5902,1265501918731870212,0.6,@chankatooon 大人の階段のーぼるー♪
5903,1265501918996180995,0.486666666666667,
5904,1265501919109414914,0.0,"RT @ElizabethFlux: One of my friends said there should be a category on Netflix called ""shows I can watch and still understand despite scro…"
5905,1265501919650500610,0.0,
5906,1265501919876964352,0.0,RT @globaltimesnews: #Zambian Ambassador to China Winnie N. Chibesakunda dismissed Western reports about Africans being discriminated again…
5907,1265501919977656322,-0.125,
5908,1265501920048881666,-0.125,RT @GlooManAbisai: They be mad as hell at pulp making smoothies
5909,1265501919981731850,0.5,RT @BeforeAfterPixs: https://t.co/mBge2feNOX
5910,1265501920095014913,0.125,
5911,1265501919868530688,-0.1,@hajj_galma This can be of interest! Mental Health has been under estimated in this pandemic https://t.co/rVtX828WQL
5912,1265501920082395141,0.0,
5913,1265501920648708097,0.7,
5914,1265501920585822209,-0.15625,
5915,1265501921051361285,0.05,alguem deve ter mudado isso nas configurações do google mas wtf https://t.co/ceQvPyRwTK
5916,1265501921084936194,-0.133333333333333,
5917,1265501921105805314,0.0,
5918,1265501921340784648,0.0,
5919,1265501921353351176,0.178571428571429,
5920,1265501921575657473,-0.35,@saavedradaiii toxi
5921,1265501921583992833,0.0,
5922,1265501921873461250,-0.9375,
5923,1265501922452217859,0.25,
5924,1265501922695528455,0.05,
5925,1265501922611662848,0.1,"RT @RadChick4Cast: OBSERVE BUT PLEASE 
DO NOT TOUCH 🚷
The #Covidiots in their natural habitat.

@kr3at @DTRH_Popeye @2029itstarts @turnbolt…"
5926,1265501922901086209,0.5,
5927,1265501923014213633,0.0,
5928,1265501923047886848,-0.5,It’s official:(As of about two minutes ago) I won’t be working till July 1st at the earliest. It’s weird not flying… https://t.co/ruUEG4qShU
5929,1265501923093905408,0.45,"RT @RahulGandhi: Today, 10 AM onwards, watch my conversation on the #Covid19 crisis with two brilliant global health experts - Prof Ashish…"
5930,1265501923177832449,0.5,
5931,1265501923299508232,0.0375,
5932,1265501923567902720,0.6,"RT @ChuckCallesto: BREAKING REPORT:  ICMR finds HCQ [Hydroxychloroquine] is effective in preventing coronavirus, expands its use..."
5933,1265501923601518592,0.0,RT @NVICLoeDown: Will COVID-19 Public Policies Split Up Families? https://t.co/tXdXrnQNyu https://t.co/ZsK06605rj
5934,1265501923681148934,0.255555555555556,
5935,1265501923844784131,0.0357142857142857,
5936,1265501924083863553,0.0,
5937,1265501924062830595,0.0222222222222222,
5938,1265501924180332551,0.55,
5939,1265501924176134144,0.0,
5940,1265501924742369284,0.5,
5941,1265501925111447553,0.2,
5942,1265501924733878274,-0.125,@Christian_scd El pipa también puro mula.
5943,1265501925140824066,0.291666666666667,
5944,1265501925254053889,0.05,
5945,1265501925375606786,-0.0961111111111111,
5946,1265501925757386754,0.0,
5947,1265501926067666946,0.0,
5948,1265501926126428161,0.1,"@Shri_tweetz1226 😂 😂 Appuram ellaraiyum baby nu sollanum.. 🤣🤣 Somehow i miss the ""Shivaay babbyyy"" 😔😔😆"
5949,1265501926369746946,0.0,
5950,1265501926420029441,-0.125,
5951,1265501926571024388,0.225,
5952,1265501926642368514,0.1625,
5953,1265501927133122565,0.0854166666666667,
5954,1265501927204421632,-0.625,This is the price of tyranny by Democrats and our tyrannical  despotic Democrat Governor Gruesome who can't help fr… https://t.co/qaIIvRfo7N
5955,1265501927464415237,0.025,
5956,1265501927569330177,0.168333333333333,
5957,1265501927737098240,-0.155555555555556,"RT @GOPLeader: ⇨ When President Trump warned Congress about COVID-19, Democrats were impeaching him.

⇨ When he shut down flights from Chin…"
5958,1265501927900696579,-0.0138888888888889,
5959,1265501928106135552,-0.201388888888889,
5960,1265501928206880774,0.334545454545455,
5961,1265501928366190599,0.0,
5962,1265501928555008006,0.6,
5963,1265501928722771970,0.227272727272727,
5964,1265501929003761665,0.0,
5965,1265501929037279237,0.0833333333333333,
5966,1265501928995291140,-0.375,
5967,1265501929054101504,-0.05,"@foxnewsnight @foxnews 4/4 2. Covid-19 attacks the weak, much like the Flu. 80% of all deaths are people over 70 ye… https://t.co/jSM5W5IOAj"
5968,1265501929184124928,0.0,"@ArvindKejriwal 
I sent you solutions medicine for Corona virus.plz reply me."
5969,1265501929414819845,-0.0333333333333333,
5970,1265501929448394752,0.35,RT @ishafoundation: #InnerEngineeringOnline consisting of 7 powerful sessions with Sadhguru is offered free for COVID warriors and at 50% f…
5971,1265501929565757441,0.0,"@heyho5black11 検索から失礼します。
リドル(キービジュ)、アズール(キービジュ)を買い取らせていただくことは可能でしょうか？
難しいと思いますが御検討の程よろしくお願いします。"
5972,1265501929846775811,0.0,
5973,1265501929934856192,0.0,
5974,1265501930194960385,0.175,
5975,1265501930308149250,0.1375,
5976,1265501930345893897,-0.131818181818182,
5977,1265501930673053698,0.5,
5978,1265501930652086272,0.381481481481482,"Why would our President, who was so proud of the economy, shut it down. Praise more like it https://t.co/PyULMzFXU9"
5979,1265501930878644226,0.0,"@EnriiqueM_ Todos los hombres tienen derecho a enamorarse y más él, puede hacer lo que le de la gana."
5980,1265501930912088073,0.0,
5981,1265501930949947393,0.0,
5982,1265501931109322756,-0.125,RT @BtheQueen13: @heyheatherirene Thank you for sharing. He was more than whatever mistake he was alleged to do and I’m so happy you shared…
5983,1265501931121905665,0.1,
5984,1265501931138691073,0.2,
5985,1265501930618527745,0.133333333333333,
5986,1265501931335753729,-0.3,
5987,1265501931990065153,0.0,
5988,1265501931931385869,0.375,
5989,1265501932220755974,0.075,
5990,1265501932665425923,0.246753246753247,
5991,1265501933105811461,0.5,
5992,1265501932883410947,0.0,
5993,1265501933156130817,0.0,
5994,1265501933248360450,0.06,
5995,1265501933520990210,0.0,
5996,1265501933764259840,-0.2,"RT @forduk: COVID-19 has meant that everyday isn't  ""just another day at the office."" To find out how we've used our knowledge and resource…"
5997,1265501934036844551,0.0,"manda indireta pra mim não pô me marca, mereço mesmo vai toma no cu"
5998,1265501934129229825,0.225,
5999,1265501934217302019,0.7,
6000,1265501934255030273,0.03125,
6001,1265501934217236480,-0.2,@dbongino Are you kidding me? She’s even dumber than she looks! His order to put COVID patients back into nursing h… https://t.co/Jt3ytm7BKW
6002,1265501934770847748,0.0,
6003,1265501934955479040,0.0625,
6004,1265501935060373504,-0.0555555555555556,
6005,1265501935349772290,0.157142857142857,
6006,1265501935395799040,-0.25,"@JoeBiden Definitely, as that’s the way to stop the spread of Covid 19. Only vanity (like Trump) or stupidity (like… https://t.co/3dmaBxUHeq"
6007,1265501935525867521,-0.166666666666667,
6008,1265501935559413760,-0.155555555555556,
6009,1265501936012480514,0.8,
6010,1265501936092135424,0.05,RT @FOX40: A Florida man was charged with kidnapping/false imprisonment last week after forcing a 17-year old girl to drive him and another…
6011,1265501936163356672,0.0,RT @Akshays_Storm: After Donating 30Cr In Corona Crisis Once Again Akshay Kumar Came Forward And Helped 1500 Daily Wage Workers With 45 Lak…
6012,1265501936159203333,0.0,
6013,1265501936335368195,0.418181818181818,
6014,1265501936486420481,0.0,
6015,1265501936377368578,-0.0357142857142857,this is what I get for ordering things in advance oop my gbf valentines are in warehouse still (safe tho unlike the airmail amiami order)
6016,1265501936700264450,-0.106770833333333,
6017,1265501936737976321,0.05,
6018,1265501936750657537,0.0,
6019,1265501936914178050,1.0,RT @staystruggles: non oomf u gotta move out https://t.co/lpneeVOwIf
6020,1265501937455292416,-0.0159090909090909,@HardeepSPuri @MoCA_GoI @PIB_India @MEAIndia @CGI_Bghm @IndEmbMoscow @indemtel @IndiaInKyrgyz @IndiainSingapor… https://t.co/HfPprCR8UX
6021,1265501937484652545,0.0,
6022,1265501937589456898,0.0,
6023,1265501937660723201,0.0,
6024,1265501937568550913,0.0,
6025,1265501937610428418,0.5,
