0,Id,Sentiment,Tweet
1,1258247688476413952,-0.3,"RT @common: With all that’s going on with COVID-19, we still can’t forget and just sit around when lives are being taken for no reason. Let…"
2,1258247688564486146,-0.2,"Uma da manhã, eu tô fazendo figurinha com a cara dos outros"
3,1258247676740513792,0.0,"RT @IndivisibleNet: Hmmm 🤔

Didn't Trump just went to Arizona?

Arizona officials ask university to stop coronavirus modeling as state ease…"
4,1258247682734338049,0.0,
5,1258247688853700608,0.9,"RT @DelhiPolice: A member of our family, Ct. Amit made the greatest sacrifice in the fight against COVID. We pay our homage to this great w…"
6,1258247688925122560,-0.5,"@supaNosky11 @trolls_queen @ChiefOjukwu @NCDCgov And you know about corona virus abi?

Who did we offend in Nigeria… https://t.co/DrCCfqNvMI"
7,1258247688954339335,-0.0625,
8,1258247689076117504,0.0681818181818182,"RT @sfcpoll: New Post-Ipsos poll: Hispanics are almost twice as likely as whites to lose their jobs amid coronavirus pandemic, w/@TracyJan…"
9,1258247689080385543,0.2,
10,1258247689038376960,0.25,BreakingNews : The first coronavirus-related death of a U.S. immigration detainee was reported by health officials… https://t.co/F2kl7rTydJ
11,1258247689390743552,0.0833333333333333,"RT @ewarren: Jared Kushner shouldn’t be overseeing anything—much less part of a national response to this crisis.

We need a bold, actionab…"
12,1258247689453494273,-0.0357142857142857,
13,1258247689516482561,0.0,
14,1258247689680142339,0.136363636363636,
15,1258247669413081090,0.1,
16,1258247677331922944,0.1,"RT @mckaycoppins: This is wild. Two Utah businesses instructed staff to ignore quarantine guidelines, resulting in 68 cases. At one of the…"
17,1258247683556306945,0.0,
18,1258247690011328512,0.0,"RT @RCdeWinter: Priorities, priorities...
Our #TaxDollars at work: Instead of doing everything humanly possible to combat #COVID19 we're go…"
19,1258247690015694849,0.0,
20,1258247690074427393,0.0,
21,1258247690095407105,0.0,
22,1258247690267344897,0.0,
23,1258247690238013440,0.0,RT @AmbassadorRice: God Help Us
24,1258247690456104965,0.0681818181818182,
25,1258247690430722048,0.25,RT @ShamsCharania: Lakers are hopeful to open facility then — and will continue working with the appropriate government and health official…
26,1258247690485297153,0.0,
27,1258247690523205633,-0.1,"RT @longestjurney: これは満員電車コース。
この時間帯にこんなに混んでいるのはおよそ2ヶ月ぶりくらいかと。 https://t.co/k4SEeURvpz"
28,1258247690615472128,0.0,"RT @abcpoppins: British newspaper headlines lead on @neil_ferguson while the rest of world talks about Britain.

Please RT!

Let’s start wi…"
29,1258247675889291264,-0.025,
30,1258247686400159747,0.0,
31,1258247690724339712,0.116666666666667,"RT @maidros78: If the PM has true political will, he must seize the wealth of the churches, mosques and NGOs, which will give us not only e…"
32,1258247690846007301,0.1375,
33,1258247690707562497,-0.7,
34,1258247677579575297,0.136363636363636,
35,1258247690984415234,0.0,
36,1258247691152351237,0.163636363636364,
37,1258247674668609537,0.8,
38,1258247679219400704,0.0,
39,1258247691324153856,-0.366666666666667,RT @Inevitable_ET: “We filed 50 criminal complaints against The WHO and another criminal complaint against our authorities for faking Covid…
40,1258247691282284544,0.136363636363636,Roger Cook is about to deliver an update on WA's fight to contain the spread of the coronavirus. Watch it live here… https://t.co/WE2IY2EcMu
41,1258247691483713537,0.0,RT @IdeiasUnicas: https://t.co/mpO2GtIfFA
